"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"CH","T","Y7","2011","77458","",""
"CH","T","Y70","2011","70109","",""
"CH","T","Y71","2011","64165","",""
"CH","T","Y72","2011","62137","",""
"CH","T","Y73","2011","59563","",""
"CH","T","Y74","2011","56476","",""
"CH","T","Y75","2011","55882","",""
"CH","T","Y76","2011","54492","",""
"CH","T","Y77","2011","52205","",""
"CH","T","Y78","2011","49266","",""
"CH","T","Y79","2011","47562","",""
"CH","T","Y8","2011","76270","",""
"CH","T","Y80","2011","44801","",""
"CH","T","Y81","2011","43201","",""
"CH","T","Y82","2011","39678","",""
"CH","T","Y83","2011","36563","",""
"CH","T","Y84","2011","33241","",""
"CH","T","Y85","2011","30858","",""
"CH","T","Y86","2011","27883","",""
"CH","T","Y87","2011","24525","",""
"CH","T","Y88","2011","21432","",""
"CH","T","Y89","2011","18326","",""
"CH","T","Y9","2011","77256","",""
"CH","T","Y90","2011","15892","",""
"CH","T","Y91","2011","12673","",""
"CH","T","Y92","2011","8782","",""
"CH","T","Y93","2011","6541","",""
"CH","T","Y94","2011","5170","",""
"CH","T","Y95","2011","3881","",""
"CH","T","Y96","2011","2803","",""
"CH","T","Y97","2011","2219","",""
"CH","T","Y98","2011","1484","",""
"CH","T","Y99","2011","932","",""
"CH","T","Y_GE100","2011","1401","",""
"CH","T","Y_LT1","2011","78426","",""
"DE","T","Y1","2011","658887","",""
"DE","T","Y10","2011","757320","",""
"DE","T","Y11","2011","777219","",""
"DE","T","Y12","2011","784584","",""
"DE","T","Y13","2011","804952","",""
"DE","T","Y14","2011","816491","",""
"DE","T","Y15","2011","779013","",""
"DE","T","Y16","2011","768289","",""
"DE","T","Y17","2011","781759","",""
"DE","T","Y18","2011","827713","",""
"DE","T","Y19","2011","857106","",""
"DE","T","Y2","2011","669486","",""
"DE","T","Y20","2011","941752","",""
"DE","T","Y21","2011","963077","",""
"DE","T","Y22","2011","976795","",""
"DE","T","Y23","2011","987668","",""
"DE","T","Y24","2011","966347","",""
"DE","T","Y25","2011","954021","",""
"DE","T","Y26","2011","958291","",""
"DE","T","Y27","2011","965443","",""
"DE","T","Y28","2011","994198","",""
"DE","T","Y29","2011","1000580","",""
"DE","T","Y3","2011","685476","",""
"DE","T","Y30","2011","991394","",""
"DE","T","Y31","2011","966253","",""
"DE","T","Y32","2011","936337","",""
"DE","T","Y33","2011","939790","",""
"DE","T","Y34","2011","918137","",""
"DE","T","Y35","2011","895725","",""
"DE","T","Y36","2011","901531","",""
"DE","T","Y37","2011","912217","",""
"DE","T","Y38","2011","954435","",""
"DE","T","Y39","2011","1078985","",""
"DE","T","Y4","2011","668896","",""
